,map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount
2263,Non Residential,"1945-1959,1980-1989",28-30m,3,6.0
2264,Non Residential,"1945-1959,1980-1989",30-35m,6,7.333333333333333
2265,Non Residential,"1945-1959,1980-1989",35-40m,2,7.5
2266,Non Residential,"1945-1959,1980-1989",40-45m,0,
2267,Non Residential,"1945-1959,1980-1989",45-50m,0,
2268,Non Residential,"1945-1959,1980-1989",50-55m,0,
2269,Non Residential,"1945-1959,1980-1989",55-60m,0,
2270,Non Residential,"1945-1959,1980-1989",60-70m,1,12.0
2271,Non Residential,"1945-1959,1980-1989",70-80m,0,
2272,Non Residential,"1945-1959,1980-1989",80-90m,0,
2273,Non Residential,"1945-1959,1980-1989",90-100m,0,
2274,Non Residential,"1945-1959,1980-1989",100-200m,0,
2275,Non Residential,"1945-1959,1980-1989,Pre 1919",0-2m,0,
2276,Non Residential,"1945-1959,1980-1989,Pre 1919",2-3m,1,1.0
2277,Non Residential,"1945-1959,1980-1989,Pre 1919",3-4m,0,
2278,Non Residential,"1945-1959,1980-1989,Pre 1919",4-5m,0,
2279,Non Residential,"1945-1959,1980-1989,Pre 1919",5-6m,1,1.0
2280,Non Residential,"1945-1959,1980-1989,Pre 1919",6-7m,2,2.0
2281,Non Residential,"1945-1959,1980-1989,Pre 1919",7-8m,1,2.0
2282,Non Residential,"1945-1959,1980-1989,Pre 1919",8-9m,2,2.0
2283,Non Residential,"1945-1959,1980-1989,Pre 1919",9-10m,10,2.0
2284,Non Residential,"1945-1959,1980-1989,Pre 1919",10-11m,9,2.0
2285,Non Residential,"1945-1959,1980-1989,Pre 1919",11-12m,0,
2286,Non Residential,"1945-1959,1980-1989,Pre 1919",12-13m,2,3.0
2287,Non Residential,"1945-1959,1980-1989,Pre 1919",13-14m,1,3.0
2288,Non Residential,"1945-1959,1980-1989,Pre 1919",14-15m,0,
2289,Non Residential,"1945-1959,1980-1989,Pre 1919",15-16m,0,
2290,Non Residential,"1945-1959,1980-1989,Pre 1919",16-17m,0,
2291,Non Residential,"1945-1959,1980-1989,Pre 1919",17-18m,1,4.0
2292,Non Residential,"1945-1959,1980-1989,Pre 1919",18-19m,0,
2293,Non Residential,"1945-1959,1980-1989,Pre 1919",19-20m,0,
2294,Non Residential,"1945-1959,1980-1989,Pre 1919",20-22m,0,
2295,Non Residential,"1945-1959,1980-1989,Pre 1919",22-24m,0,
2296,Non Residential,"1945-1959,1980-1989,Pre 1919",24-26m,0,
2297,Non Residential,"1945-1959,1980-1989,Pre 1919",26-28m,0,
2298,Non Residential,"1945-1959,1980-1989,Pre 1919",28-30m,0,
2299,Non Residential,"1945-1959,1980-1989,Pre 1919",30-35m,1,6.0
2300,Non Residential,"1945-1959,1980-1989,Pre 1919",35-40m,0,
2301,Non Residential,"1945-1959,1980-1989,Pre 1919",40-45m,0,
2302,Non Residential,"1945-1959,1980-1989,Pre 1919",45-50m,0,
2303,Non Residential,"1945-1959,1980-1989,Pre 1919",50-55m,0,
2304,Non Residential,"1945-1959,1980-1989,Pre 1919",55-60m,0,
2305,Non Residential,"1945-1959,1980-1989,Pre 1919",60-70m,0,
2306,Non Residential,"1945-1959,1980-1989,Pre 1919",70-80m,0,
2307,Non Residential,"1945-1959,1980-1989,Pre 1919",80-90m,0,
2308,Non Residential,"1945-1959,1980-1989,Pre 1919",90-100m,0,
2309,Non Residential,"1945-1959,1980-1989,Pre 1919",100-200m,0,
2310,Non Residential,"1945-1959,1980-1989,Unknown date",0-2m,0,
2311,Non Residential,"1945-1959,1980-1989,Unknown date",2-3m,0,
2312,Non Residential,"1945-1959,1980-1989,Unknown date",3-4m,2,1.0
2313,Non Residential,"1945-1959,1980-1989,Unknown date",4-5m,0,
2314,Non Residential,"1945-1959,1980-1989,Unknown date",5-6m,1,1.0
2315,Non Residential,"1945-1959,1980-1989,Unknown date",6-7m,0,
2316,Non Residential,"1945-1959,1980-1989,Unknown date",7-8m,0,
2317,Non Residential,"1945-1959,1980-1989,Unknown date",8-9m,0,
2318,Non Residential,"1945-1959,1980-1989,Unknown date",9-10m,0,
2319,Non Residential,"1945-1959,1980-1989,Unknown date",10-11m,0,
2320,Non Residential,"1945-1959,1980-1989,Unknown date",11-12m,0,
2321,Non Residential,"1945-1959,1980-1989,Unknown date",12-13m,0,
2322,Non Residential,"1945-1959,1980-1989,Unknown date",13-14m,0,
2323,Non Residential,"1945-1959,1980-1989,Unknown date",14-15m,0,
2324,Non Residential,"1945-1959,1980-1989,Unknown date",15-16m,0,
2325,Non Residential,"1945-1959,1980-1989,Unknown date",16-17m,0,
2326,Non Residential,"1945-1959,1980-1989,Unknown date",17-18m,0,
2327,Non Residential,"1945-1959,1980-1989,Unknown date",18-19m,0,
2328,Non Residential,"1945-1959,1980-1989,Unknown date",19-20m,0,
2329,Non Residential,"1945-1959,1980-1989,Unknown date",20-22m,0,
2330,Non Residential,"1945-1959,1980-1989,Unknown date",22-24m,0,
2331,Non Residential,"1945-1959,1980-1989,Unknown date",24-26m,0,
2332,Non Residential,"1945-1959,1980-1989,Unknown date",26-28m,0,
2333,Non Residential,"1945-1959,1980-1989,Unknown date",28-30m,0,
2334,Non Residential,"1945-1959,1980-1989,Unknown date",30-35m,0,
2335,Non Residential,"1945-1959,1980-1989,Unknown date",35-40m,0,
2336,Non Residential,"1945-1959,1980-1989,Unknown date",40-45m,0,
2337,Non Residential,"1945-1959,1980-1989,Unknown date",45-50m,0,
2338,Non Residential,"1945-1959,1980-1989,Unknown date",50-55m,0,
2339,Non Residential,"1945-1959,1980-1989,Unknown date",55-60m,0,
2340,Non Residential,"1945-1959,1980-1989,Unknown date",60-70m,0,
2341,Non Residential,"1945-1959,1980-1989,Unknown date",70-80m,0,
2342,Non Residential,"1945-1959,1980-1989,Unknown date",80-90m,0,
2343,Non Residential,"1945-1959,1980-1989,Unknown date",90-100m,0,
2344,Non Residential,"1945-1959,1980-1989,Unknown date",100-200m,0,
2345,Non Residential,"1945-1959,1990-1999",0-2m,0,
2346,Non Residential,"1945-1959,1990-1999",2-3m,0,
2347,Non Residential,"1945-1959,1990-1999",3-4m,5,1.0
2348,Non Residential,"1945-1959,1990-1999",4-5m,7,1.0
2349,Non Residential,"1945-1959,1990-1999",5-6m,9,1.0
2350,Non Residential,"1945-1959,1990-1999",6-7m,2,2.0
2351,Non Residential,"1945-1959,1990-1999",7-8m,4,2.25
2352,Non Residential,"1945-1959,1990-1999",8-9m,10,2.1
2353,Non Residential,"1945-1959,1990-1999",9-10m,10,2.0
2354,Non Residential,"1945-1959,1990-1999",10-11m,6,2.0
2355,Non Residential,"1945-1959,1990-1999",11-12m,1,2.0
2356,Non Residential,"1945-1959,1990-1999",12-13m,0,
2357,Non Residential,"1945-1959,1990-1999",13-14m,1,3.0
2358,Non Residential,"1945-1959,1990-1999",14-15m,0,
2359,Non Residential,"1945-1959,1990-1999",15-16m,2,3.0
2360,Non Residential,"1945-1959,1990-1999",16-17m,0,
2361,Non Residential,"1945-1959,1990-1999",17-18m,0,
2362,Non Residential,"1945-1959,1990-1999",18-19m,0,
2363,Non Residential,"1945-1959,1990-1999",19-20m,0,
2364,Non Residential,"1945-1959,1990-1999",20-22m,0,
2365,Non Residential,"1945-1959,1990-1999",22-24m,0,
2366,Non Residential,"1945-1959,1990-1999",24-26m,0,
2367,Non Residential,"1945-1959,1990-1999",26-28m,0,
2368,Non Residential,"1945-1959,1990-1999",28-30m,0,
2369,Non Residential,"1945-1959,1990-1999",30-35m,0,
2370,Non Residential,"1945-1959,1990-1999",35-40m,0,
2371,Non Residential,"1945-1959,1990-1999",40-45m,0,
2372,Non Residential,"1945-1959,1990-1999",45-50m,0,
2373,Non Residential,"1945-1959,1990-1999",50-55m,0,
2374,Non Residential,"1945-1959,1990-1999",55-60m,0,
2375,Non Residential,"1945-1959,1990-1999",60-70m,0,
2376,Non Residential,"1945-1959,1990-1999",70-80m,0,
2377,Non Residential,"1945-1959,1990-1999",80-90m,0,
2378,Non Residential,"1945-1959,1990-1999",90-100m,0,
2379,Non Residential,"1945-1959,1990-1999",100-200m,0,
2380,Non Residential,"1945-1959,1990-1999,Pre 1919",0-2m,0,
2381,Non Residential,"1945-1959,1990-1999,Pre 1919",2-3m,0,
2382,Non Residential,"1945-1959,1990-1999,Pre 1919",3-4m,0,
2383,Non Residential,"1945-1959,1990-1999,Pre 1919",4-5m,1,1.0
2384,Non Residential,"1945-1959,1990-1999,Pre 1919",5-6m,0,
2385,Non Residential,"1945-1959,1990-1999,Pre 1919",6-7m,0,
2386,Non Residential,"1945-1959,1990-1999,Pre 1919",7-8m,0,
2387,Non Residential,"1945-1959,1990-1999,Pre 1919",8-9m,1,2.0
2388,Non Residential,"1945-1959,1990-1999,Pre 1919",9-10m,0,
2389,Non Residential,"1945-1959,1990-1999,Pre 1919",10-11m,0,
2390,Non Residential,"1945-1959,1990-1999,Pre 1919",11-12m,0,
2391,Non Residential,"1945-1959,1990-1999,Pre 1919",12-13m,0,
2392,Non Residential,"1945-1959,1990-1999,Pre 1919",13-14m,0,
2393,Non Residential,"1945-1959,1990-1999,Pre 1919",14-15m,0,
2394,Non Residential,"1945-1959,1990-1999,Pre 1919",15-16m,0,
2395,Non Residential,"1945-1959,1990-1999,Pre 1919",16-17m,0,
2396,Non Residential,"1945-1959,1990-1999,Pre 1919",17-18m,0,
2397,Non Residential,"1945-1959,1990-1999,Pre 1919",18-19m,0,
2398,Non Residential,"1945-1959,1990-1999,Pre 1919",19-20m,0,
2399,Non Residential,"1945-1959,1990-1999,Pre 1919",20-22m,0,
2400,Non Residential,"1945-1959,1990-1999,Pre 1919",22-24m,0,
2401,Non Residential,"1945-1959,1990-1999,Pre 1919",24-26m,0,
2402,Non Residential,"1945-1959,1990-1999,Pre 1919",26-28m,0,
2403,Non Residential,"1945-1959,1990-1999,Pre 1919",28-30m,0,
2404,Non Residential,"1945-1959,1990-1999,Pre 1919",30-35m,0,
2405,Non Residential,"1945-1959,1990-1999,Pre 1919",35-40m,0,
2406,Non Residential,"1945-1959,1990-1999,Pre 1919",40-45m,0,
2407,Non Residential,"1945-1959,1990-1999,Pre 1919",45-50m,0,
2408,Non Residential,"1945-1959,1990-1999,Pre 1919",50-55m,0,
2409,Non Residential,"1945-1959,1990-1999,Pre 1919",55-60m,0,
2410,Non Residential,"1945-1959,1990-1999,Pre 1919",60-70m,0,
2411,Non Residential,"1945-1959,1990-1999,Pre 1919",70-80m,0,
2412,Non Residential,"1945-1959,1990-1999,Pre 1919",80-90m,0,
2413,Non Residential,"1945-1959,1990-1999,Pre 1919",90-100m,0,
2414,Non Residential,"1945-1959,1990-1999,Pre 1919",100-200m,0,
2415,Non Residential,"1945-1959,Post 1999",0-2m,0,
2416,Non Residential,"1945-1959,Post 1999",2-3m,0,
2417,Non Residential,"1945-1959,Post 1999",3-4m,14,1.0
2418,Non Residential,"1945-1959,Post 1999",4-5m,11,1.0
2419,Non Residential,"1945-1959,Post 1999",5-6m,12,1.0833333333333333
2420,Non Residential,"1945-1959,Post 1999",6-7m,1,2.0
2421,Non Residential,"1945-1959,Post 1999",7-8m,4,2.0
2422,Non Residential,"1945-1959,Post 1999",8-9m,6,2.0
2423,Non Residential,"1945-1959,Post 1999",9-10m,12,2.0
2424,Non Residential,"1945-1959,Post 1999",10-11m,10,2.0
2425,Non Residential,"1945-1959,Post 1999",11-12m,1,3.0
2426,Non Residential,"1945-1959,Post 1999",12-13m,1,4.0
2427,Non Residential,"1945-1959,Post 1999",13-14m,2,3.5
2428,Non Residential,"1945-1959,Post 1999",14-15m,1,3.0
2429,Non Residential,"1945-1959,Post 1999",15-16m,0,
2430,Non Residential,"1945-1959,Post 1999",16-17m,0,
2431,Non Residential,"1945-1959,Post 1999",17-18m,1,4.0
2432,Non Residential,"1945-1959,Post 1999",18-19m,0,
2433,Non Residential,"1945-1959,Post 1999",19-20m,0,
2434,Non Residential,"1945-1959,Post 1999",20-22m,1,4.0
2435,Non Residential,"1945-1959,Post 1999",22-24m,0,
2436,Non Residential,"1945-1959,Post 1999",24-26m,1,5.0
2437,Non Residential,"1945-1959,Post 1999",26-28m,1,9.0
2438,Non Residential,"1945-1959,Post 1999",28-30m,0,
2439,Non Residential,"1945-1959,Post 1999",30-35m,0,
2440,Non Residential,"1945-1959,Post 1999",35-40m,0,
2441,Non Residential,"1945-1959,Post 1999",40-45m,0,
2442,Non Residential,"1945-1959,Post 1999",45-50m,0,
2443,Non Residential,"1945-1959,Post 1999",50-55m,0,
2444,Non Residential,"1945-1959,Post 1999",55-60m,0,
2445,Non Residential,"1945-1959,Post 1999",60-70m,0,
2446,Non Residential,"1945-1959,Post 1999",70-80m,0,
2447,Non Residential,"1945-1959,Post 1999",80-90m,0,
2448,Non Residential,"1945-1959,Post 1999",90-100m,0,
2449,Non Residential,"1945-1959,Post 1999",100-200m,0,
2450,Non Residential,"1945-1959,Post 1999,Unknown date",0-2m,0,
2451,Non Residential,"1945-1959,Post 1999,Unknown date",2-3m,0,
2452,Non Residential,"1945-1959,Post 1999,Unknown date",3-4m,0,
2453,Non Residential,"1945-1959,Post 1999,Unknown date",4-5m,0,
2454,Non Residential,"1945-1959,Post 1999,Unknown date",5-6m,1,1.0
2455,Non Residential,"1945-1959,Post 1999,Unknown date",6-7m,0,
2456,Non Residential,"1945-1959,Post 1999,Unknown date",7-8m,0,
2457,Non Residential,"1945-1959,Post 1999,Unknown date",8-9m,0,
2458,Non Residential,"1945-1959,Post 1999,Unknown date",9-10m,0,
2459,Non Residential,"1945-1959,Post 1999,Unknown date",10-11m,0,
2460,Non Residential,"1945-1959,Post 1999,Unknown date",11-12m,0,
2461,Non Residential,"1945-1959,Post 1999,Unknown date",12-13m,0,
2462,Non Residential,"1945-1959,Post 1999,Unknown date",13-14m,0,
2463,Non Residential,"1945-1959,Post 1999,Unknown date",14-15m,0,
2464,Non Residential,"1945-1959,Post 1999,Unknown date",15-16m,0,
2465,Non Residential,"1945-1959,Post 1999,Unknown date",16-17m,0,
2466,Non Residential,"1945-1959,Post 1999,Unknown date",17-18m,0,
2467,Non Residential,"1945-1959,Post 1999,Unknown date",18-19m,0,
2468,Non Residential,"1945-1959,Post 1999,Unknown date",19-20m,0,
2469,Non Residential,"1945-1959,Post 1999,Unknown date",20-22m,0,
2470,Non Residential,"1945-1959,Post 1999,Unknown date",22-24m,0,
2471,Non Residential,"1945-1959,Post 1999,Unknown date",24-26m,0,
2472,Non Residential,"1945-1959,Post 1999,Unknown date",26-28m,0,
2473,Non Residential,"1945-1959,Post 1999,Unknown date",28-30m,0,
2474,Non Residential,"1945-1959,Post 1999,Unknown date",30-35m,0,
2475,Non Residential,"1945-1959,Post 1999,Unknown date",35-40m,0,
2476,Non Residential,"1945-1959,Post 1999,Unknown date",40-45m,0,
2477,Non Residential,"1945-1959,Post 1999,Unknown date",45-50m,0,
2478,Non Residential,"1945-1959,Post 1999,Unknown date",50-55m,0,
2479,Non Residential,"1945-1959,Post 1999,Unknown date",55-60m,0,
2480,Non Residential,"1945-1959,Post 1999,Unknown date",60-70m,0,
2481,Non Residential,"1945-1959,Post 1999,Unknown date",70-80m,0,
2482,Non Residential,"1945-1959,Post 1999,Unknown date",80-90m,0,
2483,Non Residential,"1945-1959,Post 1999,Unknown date",90-100m,0,
2484,Non Residential,"1945-1959,Post 1999,Unknown date",100-200m,0,
2485,Non Residential,"1945-1959,Pre 1919",0-2m,0,
2486,Non Residential,"1945-1959,Pre 1919",2-3m,0,
2487,Non Residential,"1945-1959,Pre 1919",3-4m,26,1.0
2488,Non Residential,"1945-1959,Pre 1919",4-5m,47,1.0
2489,Non Residential,"1945-1959,Pre 1919",5-6m,50,1.12
2490,Non Residential,"1945-1959,Pre 1919",6-7m,30,2.0
2491,Non Residential,"1945-1959,Pre 1919",7-8m,44,2.0
2492,Non Residential,"1945-1959,Pre 1919",8-9m,118,2.059322033898305
2493,Non Residential,"1945-1959,Pre 1919",9-10m,302,2.0860927152317883
2494,Non Residential,"1945-1959,Pre 1919",10-11m,157,2.1146496815286624
2495,Non Residential,"1945-1959,Pre 1919",11-12m,52,2.6923076923076925
2496,Non Residential,"1945-1959,Pre 1919",12-13m,36,3.0277777777777777
2497,Non Residential,"1945-1959,Pre 1919",13-14m,51,3.0784313725490198
2498,Non Residential,"1945-1959,Pre 1919",14-15m,46,3.108695652173913
2499,Non Residential,"1945-1959,Pre 1919",15-16m,33,3.1818181818181817
2500,Non Residential,"1945-1959,Pre 1919",16-17m,22,3.272727272727273
2501,Non Residential,"1945-1959,Pre 1919",17-18m,9,4.222222222222222
2502,Non Residential,"1945-1959,Pre 1919",18-19m,2,4.0
2503,Non Residential,"1945-1959,Pre 1919",19-20m,12,4.166666666666667
2504,Non Residential,"1945-1959,Pre 1919",20-22m,14,4.214285714285714
2505,Non Residential,"1945-1959,Pre 1919",22-24m,3,4.666666666666667
2506,Non Residential,"1945-1959,Pre 1919",24-26m,1,5.0
2507,Non Residential,"1945-1959,Pre 1919",26-28m,4,5.0
2508,Non Residential,"1945-1959,Pre 1919",28-30m,0,
2509,Non Residential,"1945-1959,Pre 1919",30-35m,4,7.0
2510,Non Residential,"1945-1959,Pre 1919",35-40m,2,7.0
2511,Non Residential,"1945-1959,Pre 1919",40-45m,0,
2512,Non Residential,"1945-1959,Pre 1919",45-50m,0,
2513,Non Residential,"1945-1959,Pre 1919",50-55m,0,
2514,Non Residential,"1945-1959,Pre 1919",55-60m,0,
2515,Non Residential,"1945-1959,Pre 1919",60-70m,0,
2516,Non Residential,"1945-1959,Pre 1919",70-80m,0,
2517,Non Residential,"1945-1959,Pre 1919",80-90m,0,
2518,Non Residential,"1945-1959,Pre 1919",90-100m,0,
2519,Non Residential,"1945-1959,Pre 1919",100-200m,0,
2520,Non Residential,"1945-1959,Pre 1919,Unknown date",0-2m,0,
2521,Non Residential,"1945-1959,Pre 1919,Unknown date",2-3m,0,
2522,Non Residential,"1945-1959,Pre 1919,Unknown date",3-4m,0,
2523,Non Residential,"1945-1959,Pre 1919,Unknown date",4-5m,0,
2524,Non Residential,"1945-1959,Pre 1919,Unknown date",5-6m,1,1.0
2525,Non Residential,"1945-1959,Pre 1919,Unknown date",6-7m,0,
2526,Non Residential,"1945-1959,Pre 1919,Unknown date",7-8m,0,
2527,Non Residential,"1945-1959,Pre 1919,Unknown date",8-9m,0,
2528,Non Residential,"1945-1959,Pre 1919,Unknown date",9-10m,0,
2529,Non Residential,"1945-1959,Pre 1919,Unknown date",10-11m,0,
2530,Non Residential,"1945-1959,Pre 1919,Unknown date",11-12m,0,
2531,Non Residential,"1945-1959,Pre 1919,Unknown date",12-13m,0,
2532,Non Residential,"1945-1959,Pre 1919,Unknown date",13-14m,0,
2533,Non Residential,"1945-1959,Pre 1919,Unknown date",14-15m,0,
2534,Non Residential,"1945-1959,Pre 1919,Unknown date",15-16m,0,
2535,Non Residential,"1945-1959,Pre 1919,Unknown date",16-17m,0,
2536,Non Residential,"1945-1959,Pre 1919,Unknown date",17-18m,0,
2537,Non Residential,"1945-1959,Pre 1919,Unknown date",18-19m,0,
2538,Non Residential,"1945-1959,Pre 1919,Unknown date",19-20m,0,
2539,Non Residential,"1945-1959,Pre 1919,Unknown date",20-22m,0,
2540,Non Residential,"1945-1959,Pre 1919,Unknown date",22-24m,0,
2541,Non Residential,"1945-1959,Pre 1919,Unknown date",24-26m,0,
2542,Non Residential,"1945-1959,Pre 1919,Unknown date",26-28m,0,
2543,Non Residential,"1945-1959,Pre 1919,Unknown date",28-30m,0,
2544,Non Residential,"1945-1959,Pre 1919,Unknown date",30-35m,0,
2545,Non Residential,"1945-1959,Pre 1919,Unknown date",35-40m,0,
2546,Non Residential,"1945-1959,Pre 1919,Unknown date",40-45m,0,
2547,Non Residential,"1945-1959,Pre 1919,Unknown date",45-50m,0,
2548,Non Residential,"1945-1959,Pre 1919,Unknown date",50-55m,0,
2549,Non Residential,"1945-1959,Pre 1919,Unknown date",55-60m,0,
2550,Non Residential,"1945-1959,Pre 1919,Unknown date",60-70m,0,
2551,Non Residential,"1945-1959,Pre 1919,Unknown date",70-80m,0,
2552,Non Residential,"1945-1959,Pre 1919,Unknown date",80-90m,0,
2553,Non Residential,"1945-1959,Pre 1919,Unknown date",90-100m,0,
2554,Non Residential,"1945-1959,Pre 1919,Unknown date",100-200m,0,
2555,Non Residential,"1945-1959,Unknown date",0-2m,0,
2556,Non Residential,"1945-1959,Unknown date",2-3m,0,
2557,Non Residential,"1945-1959,Unknown date",3-4m,36,1.0
2558,Non Residential,"1945-1959,Unknown date",4-5m,39,1.0
2559,Non Residential,"1945-1959,Unknown date",5-6m,26,1.0
2560,Non Residential,"1945-1959,Unknown date",6-7m,0,
2561,Non Residential,"1945-1959,Unknown date",7-8m,1,2.0
2562,Non Residential,"1945-1959,Unknown date",8-9m,0,
2563,Non Residential,"1945-1959,Unknown date",9-10m,6,2.0
2564,Non Residential,"1945-1959,Unknown date",10-11m,1,2.0
2565,Non Residential,"1945-1959,Unknown date",11-12m,0,
2566,Non Residential,"1945-1959,Unknown date",12-13m,0,
2567,Non Residential,"1945-1959,Unknown date",13-14m,0,
2568,Non Residential,"1945-1959,Unknown date",14-15m,0,
2569,Non Residential,"1945-1959,Unknown date",15-16m,0,
2570,Non Residential,"1945-1959,Unknown date",16-17m,0,
2571,Non Residential,"1945-1959,Unknown date",17-18m,0,
2572,Non Residential,"1945-1959,Unknown date",18-19m,0,
2573,Non Residential,"1945-1959,Unknown date",19-20m,0,
2574,Non Residential,"1945-1959,Unknown date",20-22m,0,
2575,Non Residential,"1945-1959,Unknown date",22-24m,0,
2576,Non Residential,"1945-1959,Unknown date",24-26m,0,
2577,Non Residential,"1945-1959,Unknown date",26-28m,0,
2578,Non Residential,"1945-1959,Unknown date",28-30m,0,
2579,Non Residential,"1945-1959,Unknown date",30-35m,0,
2580,Non Residential,"1945-1959,Unknown date",35-40m,0,
2581,Non Residential,"1945-1959,Unknown date",40-45m,0,
2582,Non Residential,"1945-1959,Unknown date",45-50m,0,
2583,Non Residential,"1945-1959,Unknown date",50-55m,0,
2584,Non Residential,"1945-1959,Unknown date",55-60m,0,
2585,Non Residential,"1945-1959,Unknown date",60-70m,0,
2586,Non Residential,"1945-1959,Unknown date",70-80m,0,
2587,Non Residential,"1945-1959,Unknown date",80-90m,0,
2588,Non Residential,"1945-1959,Unknown date",90-100m,0,
2589,Non Residential,"1945-1959,Unknown date",100-200m,0,
2590,Non Residential,1960-1979,0-2m,0,
2591,Non Residential,1960-1979,2-3m,65,1.0
2592,Non Residential,1960-1979,3-4m,2213,1.0
2593,Non Residential,1960-1979,4-5m,3167,1.0
2594,Non Residential,1960-1979,5-6m,3638,1.3163826278174822
2595,Non Residential,1960-1979,6-7m,2505,2.0
2596,Non Residential,1960-1979,7-8m,4002,2.0059970014992503
2597,Non Residential,1960-1979,8-9m,5253,2.0266514372739386
2598,Non Residential,1960-1979,9-10m,4566,2.094393342093736
2599,Non Residential,1960-1979,10-11m,1684,2.2084323040380047
2600,Non Residential,1960-1979,11-12m,502,2.894422310756972
2601,Non Residential,1960-1979,12-13m,372,3.252688172043011
2602,Non Residential,1960-1979,13-14m,332,3.4006024096385543
2603,Non Residential,1960-1979,14-15m,311,3.405144694533762
2604,Non Residential,1960-1979,15-16m,255,3.4941176470588236
2605,Non Residential,1960-1979,16-17m,192,3.6510416666666665
2606,Non Residential,1960-1979,17-18m,91,4.56043956043956
2607,Non Residential,1960-1979,18-19m,110,4.654545454545454
2608,Non Residential,1960-1979,19-20m,107,4.5607476635514015
2609,Non Residential,1960-1979,20-22m,160,4.88125
2610,Non Residential,1960-1979,22-24m,105,5.485714285714286
2611,Non Residential,1960-1979,24-26m,113,5.95575221238938
2612,Non Residential,1960-1979,26-28m,84,6.345238095238095
2613,Non Residential,1960-1979,28-30m,66,7.075757575757576
2614,Non Residential,1960-1979,30-35m,108,7.944444444444445
2615,Non Residential,1960-1979,35-40m,61,9.327868852459016
2616,Non Residential,1960-1979,40-45m,12,11.0
2617,Non Residential,1960-1979,45-50m,27,12.074074074074074
2618,Non Residential,1960-1979,50-55m,8,12.125
2619,Non Residential,1960-1979,55-60m,9,15.0
2620,Non Residential,1960-1979,60-70m,9,16.77777777777778
2621,Non Residential,1960-1979,70-80m,1,20.0
2622,Non Residential,1960-1979,80-90m,5,25.2
2623,Non Residential,1960-1979,90-100m,2,30.5
2624,Non Residential,1960-1979,100-200m,4,29.25
2625,Non Residential,"1960-1979,1980-1989",0-2m,0,
2626,Non Residential,"1960-1979,1980-1989",2-3m,0,
2627,Non Residential,"1960-1979,1980-1989",3-4m,0,
2628,Non Residential,"1960-1979,1980-1989",4-5m,0,
2629,Non Residential,"1960-1979,1980-1989",5-6m,0,
2630,Non Residential,"1960-1979,1980-1989",6-7m,0,
2631,Non Residential,"1960-1979,1980-1989",7-8m,0,
2632,Non Residential,"1960-1979,1980-1989",8-9m,1,2.0
2633,Non Residential,"1960-1979,1980-1989",9-10m,0,
2634,Non Residential,"1960-1979,1980-1989",10-11m,1,2.0
2635,Non Residential,"1960-1979,1980-1989",11-12m,0,
2636,Non Residential,"1960-1979,1980-1989",12-13m,0,
2637,Non Residential,"1960-1979,1980-1989",13-14m,0,
2638,Non Residential,"1960-1979,1980-1989",14-15m,0,
2639,Non Residential,"1960-1979,1980-1989",15-16m,0,
2640,Non Residential,"1960-1979,1980-1989",16-17m,0,
2641,Non Residential,"1960-1979,1980-1989",17-18m,0,
2642,Non Residential,"1960-1979,1980-1989",18-19m,0,
2643,Non Residential,"1960-1979,1980-1989",19-20m,0,
2644,Non Residential,"1960-1979,1980-1989",20-22m,0,
2645,Non Residential,"1960-1979,1980-1989",22-24m,0,
2646,Non Residential,"1960-1979,1980-1989",24-26m,0,
2647,Non Residential,"1960-1979,1980-1989",26-28m,0,
2648,Non Residential,"1960-1979,1980-1989",28-30m,0,
2649,Non Residential,"1960-1979,1980-1989",30-35m,0,
2650,Non Residential,"1960-1979,1980-1989",35-40m,0,
2651,Non Residential,"1960-1979,1980-1989",40-45m,0,
2652,Non Residential,"1960-1979,1980-1989",45-50m,0,
2653,Non Residential,"1960-1979,1980-1989",50-55m,0,
2654,Non Residential,"1960-1979,1980-1989",55-60m,0,
2655,Non Residential,"1960-1979,1980-1989",60-70m,0,
2656,Non Residential,"1960-1979,1980-1989",70-80m,0,
2657,Non Residential,"1960-1979,1980-1989",80-90m,0,
2658,Non Residential,"1960-1979,1980-1989",90-100m,0,
2659,Non Residential,"1960-1979,1980-1989",100-200m,0,
2660,Non Residential,"1960-1979,Pre 1919",0-2m,0,
2661,Non Residential,"1960-1979,Pre 1919",2-3m,0,
2662,Non Residential,"1960-1979,Pre 1919",3-4m,0,
2663,Non Residential,"1960-1979,Pre 1919",4-5m,0,
2664,Non Residential,"1960-1979,Pre 1919",5-6m,0,
2665,Non Residential,"1960-1979,Pre 1919",6-7m,0,
2666,Non Residential,"1960-1979,Pre 1919",7-8m,0,
2667,Non Residential,"1960-1979,Pre 1919",8-9m,0,
2668,Non Residential,"1960-1979,Pre 1919",9-10m,0,
2669,Non Residential,"1960-1979,Pre 1919",10-11m,0,
2670,Non Residential,"1960-1979,Pre 1919",11-12m,0,
2671,Non Residential,"1960-1979,Pre 1919",12-13m,1,3.0
2672,Non Residential,"1960-1979,Pre 1919",13-14m,0,
2673,Non Residential,"1960-1979,Pre 1919",14-15m,0,
2674,Non Residential,"1960-1979,Pre 1919",15-16m,0,
2675,Non Residential,"1960-1979,Pre 1919",16-17m,0,
2676,Non Residential,"1960-1979,Pre 1919",17-18m,0,
2677,Non Residential,"1960-1979,Pre 1919",18-19m,0,
2678,Non Residential,"1960-1979,Pre 1919",19-20m,0,
