,map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount
188,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",14-15m,0,
189,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",15-16m,0,
190,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",16-17m,0,
191,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",17-18m,0,
192,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",18-19m,0,
193,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",19-20m,0,
194,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",20-22m,0,
195,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",22-24m,0,
196,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",24-26m,0,
197,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",26-28m,0,
198,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",28-30m,0,
199,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",30-35m,0,
200,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",35-40m,0,
201,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",40-45m,0,
202,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",45-50m,0,
203,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",50-55m,0,
204,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",55-60m,0,
205,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",60-70m,0,
206,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",70-80m,0,
207,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",80-90m,0,
208,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",90-100m,0,
209,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",100-200m,0,
210,Mixed Use,"1919-1944,1945-1959,Post 1999",0-2m,0,
211,Mixed Use,"1919-1944,1945-1959,Post 1999",2-3m,0,
212,Mixed Use,"1919-1944,1945-1959,Post 1999",3-4m,0,
213,Mixed Use,"1919-1944,1945-1959,Post 1999",4-5m,0,
214,Mixed Use,"1919-1944,1945-1959,Post 1999",5-6m,0,
215,Mixed Use,"1919-1944,1945-1959,Post 1999",6-7m,0,
216,Mixed Use,"1919-1944,1945-1959,Post 1999",7-8m,0,
217,Mixed Use,"1919-1944,1945-1959,Post 1999",8-9m,0,
218,Mixed Use,"1919-1944,1945-1959,Post 1999",9-10m,0,
