Unnamed: 0,map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount
4634,Residential,Post 1999,15-16m,2060,4.033495145631068
4635,Residential,Post 1999,16-17m,2667,4.633295838020247
4636,Residential,Post 1999,17-18m,816,4.600490196078432
4637,Residential,Post 1999,18-19m,612,5.07516339869281
4638,Residential,Post 1999,19-20m,429,5.055944055944056
4639,Residential,Post 1999,20-22m,488,5.385245901639344
4640,Residential,Post 1999,22-24m,263,6.034220532319392
4641,Residential,Post 1999,24-26m,192,6.651041666666667
4642,Residential,Post 1999,26-28m,149,7.214765100671141
4643,Residential,Post 1999,28-30m,86,7.9186046511627906
4644,Residential,Post 1999,30-35m,137,9.83941605839416
4645,Residential,Post 1999,35-40m,59,12.084745762711863
4646,Residential,Post 1999,40-45m,31,14.193548387096774
4647,Residential,Post 1999,45-50m,25,15.44
4650,Residential,Post 1999,60-70m,20,20.05
4727,Residential,Pre 1919,3-4m,1868,1.0
4728,Residential,Pre 1919,4-5m,1636,1.0
4729,Residential,Pre 1919,5-6m,56188,1.958514273510358
4730,Residential,Pre 1919,6-7m,95420,2.0
4731,Residential,Pre 1919,7-8m,285277,2.0133414190418435
4732,Residential,Pre 1919,8-9m,1117354,2.015642312105206
4733,Residential,Pre 1919,9-10m,1344095,2.0244819004609047
4734,Residential,Pre 1919,10-11m,442637,2.0964040511751163
4735,Residential,Pre 1919,11-12m,67146,2.701069311649242
4736,Residential,Pre 1919,12-13m,29811,3.2581597396934017
4737,Residential,Pre 1919,13-14m,25561,3.496811548843942
4738,Residential,Pre 1919,14-15m,21779,3.5963542862390376
4739,Residential,Pre 1919,15-16m,19264,3.731935215946844
4740,Residential,Pre 1919,16-17m,14783,3.976053575052425
4741,Residential,Pre 1919,17-18m,8938,4.418885656746475
4742,Residential,Pre 1919,18-19m,7492,4.546316070475173
4743,Residential,Pre 1919,19-20m,5508,4.642701525054466
4744,Residential,Pre 1919,20-22m,7141,4.928021285534239
4745,Residential,Pre 1919,22-24m,2152,5.603624535315985
4746,Residential,Pre 1919,24-26m,1181,5.757832345469941
4747,Residential,Pre 1919,26-28m,640,5.74375
4748,Residential,Pre 1919,28-30m,301,6.358803986710964
4749,Residential,Pre 1919,30-35m,269,6.858736059479554
4796,Residential,Unknown date,2-3m,53,1.0
4797,Residential,Unknown date,3-4m,3740171,1.0
4798,Residential,Unknown date,4-5m,3387,1.0
4799,Residential,Unknown date,5-6m,28844,1.9468867008736648
4800,Residential,Unknown date,6-7m,19394,2.0
4801,Residential,Unknown date,7-8m,43263,2.011418533157664
4802,Residential,Unknown date,8-9m,282428,2.0128705369156035
4803,Residential,Unknown date,9-10m,189443,2.013803624309159
4804,Residential,Unknown date,10-11m,6410,2.12386895475819
4805,Residential,Unknown date,11-12m,998,2.7905811623246493
4806,Residential,Unknown date,12-13m,614,3.749185667752443
4807,Residential,Unknown date,13-14m,388,4.27319587628866
4808,Residential,Unknown date,14-15m,267,4.318352059925093
4809,Residential,Unknown date,15-16m,210,4.414285714285715
4810,Residential,Unknown date,16-17m,148,4.77027027027027
4811,Residential,Unknown date,17-18m,86,5.267441860465116
4812,Residential,Unknown date,18-19m,76,5.868421052631579
4813,Residential,Unknown date,19-20m,39,5.743589743589744
4814,Residential,Unknown date,20-22m,31,5.903225806451613
4815,Residential,Unknown date,22-24m,20,6.8
